0 1 1 1 1 1 1 1 1 
1 0.5 1.5 0.5 0.5 1.5 0.5 1.5 1.5 
2 0.333333 1 0.333333 0.333333 1 0.333333 1 1.66667 
3 0.25 0.75 1.25 0.25 0.75 0.25 0.75 1.75 
4 0.25 0.75 1.25 0.25 0.75 0.25 0.75 1.75 
5 0.2 0.6 1 0.2 1.4 0.2 1.4 1.8 
6 0.2 0.6 1 0.2 1.4 0.2 1.4 1.8 
7 0.166667 0.5 0.833333 0.166667 1.16667 1.5 1.16667 1.83333 
8 0.142857 0.428571 0.714286 0.142857 1 1.28571 1.57143 1.85714 
